,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
All_Freight,18.858098,154.070935,161.880444,161.564447,159.716411,163.011364,161.876658,173.517152,186.530855,193.569487,200.28796,190.020179,186.088403,156.799568,169.002508,175.6471,180.660564,185.19699,190.047114,185.679014,171.176939,179.734722,187.270156,175.821676,155.221099,155.909744,152.221459
All_Freight_Both_Mainline,0,136.898241,145.851927,146.159926,145.578595,149.244443,149.058126,160.415966,172.814565,178.924409,185.121817,174.803616,170.931924,143.848655,155.672631,161.669222,166.150765,170.749013,175.2916,171.032489,157.653629,166.048638,173.129101,162.086832,143.265997,144.180989,140.581701
All_Freight_Only_Mainline,0,136.898241,145.851927,146.159926,145.578595,149.244443,149.058126,160.415966,172.814565,178.924409,185.121817,174.803616,170.931924,143.848655,155.672631,161.669222,166.150765,170.749013,175.2916,171.032489,157.653629,166.048638,173.129101,162.086832,143.265997,144.180989,140.581701
All_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Freight_Non_Mainline,18.858098,17.172694,16.028517,15.404521,14.137816,13.766921,12.818532,13.101186,13.71629,14.645078,15.166143,15.216563,15.156479,12.950913,13.329877,13.977878,14.509799,14.447977,14.755514,14.646525,13.52331,13.686084,14.141055,13.734844,11.955102,11.728755,11.639758
ClassI_Freight_Both_Mainline,0,136.898241,145.851927,146.159926,145.578595,149.244443,149.058126,160.415966,172.814565,178.924409,185.121817,174.803616,170.931924,143.848655,155.672631,161.669222,166.150765,170.749013,175.2916,171.032489,157.653629,166.048638,173.129101,162.086832,143.265997,144.180989,140.581701
ClassI_Freight_Only_Mainline,0,136.898241,145.851927,146.159926,145.578595,149.244443,149.058126,160.415966,172.814565,178.924409,185.121817,174.803616,170.931924,143.848655,155.672631,161.669222,166.150765,170.749013,175.2916,171.032489,157.653629,166.048638,173.129101,162.086832,143.265997,144.180989,140.581701
ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClassI_Freight_Non_Mainline,18.858098,17.172694,16.028517,15.404521,14.137816,13.766921,12.818532,13.101186,13.71629,14.645078,15.166143,15.216563,15.156479,12.950913,13.329877,13.977878,14.509799,14.447977,14.755514,14.646525,13.52331,13.686084,14.141055,13.734844,11.955102,11.728755,11.639758
Non_ClassI_Freight_Both_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Only_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Non_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Train,18.858098,154.671963,162.781415,162.473995,160.653913,163.011364,161.876658,173.517152,186.530855,193.569487,200.28796,190.020179,186.088403,156.799568,169.002508,175.6471,180.660564,185.19699,190.047114,185.679014,171.176939,179.734722,187.270156,175.821676,155.221099,155.909744,152.221459
All_Train_Mainline,0,137.499269,146.752898,147.069474,146.516097,149.244443,149.058126,160.415966,172.814565,178.924409,185.121817,174.803616,170.931924,143.848655,155.672631,161.669222,166.150765,170.749013,175.2916,171.032489,157.653629,166.048638,173.129101,162.086832,143.265997,144.180989,140.581701
All_Train_Non_Mainline,18.858098,17.172694,16.028517,15.404521,14.137816,13.766921,12.818532,13.101186,13.71629,14.645078,15.166143,15.216563,15.156479,12.950913,13.329877,13.977878,14.509799,14.447977,14.755514,14.646525,13.52331,13.686084,14.141055,13.734844,11.955102,11.728755,11.639758
