,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
All_Freight,2.903462,22.70136,22.953235,22.653972,25.368411,24.743395,23.200469,22.7922,23.417761,22.87472,22.27332,21.143231,20.600159,16.134751,17.325941,18.057247,19.407945,20.330835,21.087726,20.632016,19.035247,19.882888,21.036233,21.297299,18.049569,18.449158,19.758105
All_Freight_Both_Mainline,0,19.534427,19.658946,19.34953,19.76732,19.439927,18.293298,17.915828,17.947528,17.592005,17.372528,16.748136,16.576618,13.457903,14.4282,15.008944,16.575361,17.753529,18.566929,18.435077,17.032942,17.782376,18.879536,19.144896,16.270902,16.653523,17.746507
All_Freight_Only_Mainline,0,19.509361,19.639839,19.329169,19.749183,19.414332,18.260902,17.88669,17.917691,17.567118,17.351236,16.727234,16.553972,13.424674,14.410388,14.990304,16.555721,17.742439,18.556629,18.414547,16.995654,17.735011,18.829268,19.094088,16.252868,16.637462,17.723445
All_Freight_Other_Mainline,0,0.025066,0.019107,0.020361,0.018137,0.025595,0.032396,0.029138,0.029837,0.024887,0.021292,0.020902,0.022646,0.033229,0.017812,0.01864,0.01964,0.01109,0.0103,0.02053,0.037288,0.047365,0.050268,0.050808,0.018034,0.016061,0.023062
All_Freight_Non_Mainline,2.903462,3.166933,3.294289,3.304442,5.601091,5.303468,4.907171,4.876372,5.470233,5.282715,4.900792,4.395095,4.023541,2.676848,2.897741,3.048303,2.832584,2.577306,2.520797,2.196939,2.002305,2.100512,2.156697,2.152403,1.778667,1.795635,2.011598
ClassI_Freight_Both_Mainline,0,19.534427,19.658946,19.34953,19.76732,19.439927,18.293298,17.915828,17.947528,17.592005,17.372528,16.748136,16.576618,13.457903,14.4282,15.008944,16.575361,17.753529,18.566929,18.435077,17.032942,17.782376,18.879536,19.144896,16.270902,16.653523,17.746507
ClassI_Freight_Only_Mainline,0,19.509361,19.639839,19.329169,19.749183,19.414332,18.260902,17.88669,17.917691,17.567118,17.351236,16.727234,16.553972,13.424674,14.410388,14.990304,16.555721,17.742439,18.556629,18.414547,16.995654,17.735011,18.829268,19.094088,16.252868,16.637462,17.723445
ClassI_Freight_Other_Mainline,0,0.025066,0.019107,0.020361,0.018137,0.025595,0.032396,0.029138,0.029837,0.024887,0.021292,0.020902,0.022646,0.033229,0.017812,0.01864,0.01964,0.01109,0.0103,0.02053,0.037288,0.047365,0.050268,0.050808,0.018034,0.016061,0.023062
ClassI_Freight_Non_Mainline,2.903462,3.166933,3.294289,3.304442,5.601091,5.303468,4.907171,4.876372,5.470233,5.282715,4.900792,4.395095,4.023541,2.676848,2.897741,3.048303,2.832584,2.577306,2.520797,2.196939,2.002305,2.100512,2.156697,2.152403,1.778667,1.795635,2.011598
Non_ClassI_Freight_Both_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Only_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Non_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Train,2.903462,22.705435,22.959039,22.670826,25.374341,24.748466,23.201129,22.7922,23.417761,22.87472,22.27332,21.143231,20.600159,16.134751,17.325941,18.057247,19.407945,20.330835,21.087726,20.632016,19.035247,19.882888,21.036233,21.297299,18.049569,18.449158,19.758105
All_Train_Mainline,0,19.538502,19.66475,19.366384,19.77325,19.444998,18.293958,17.915828,17.947528,17.592005,17.372528,16.748136,16.576618,13.457903,14.4282,15.008944,16.575361,17.753529,18.566929,18.435077,17.032942,17.782376,18.879536,19.144896,16.270902,16.653523,17.746507
All_Train_Non_Mainline,2.903462,3.166933,3.294289,3.304442,5.601091,5.303468,4.907171,4.876372,5.470233,5.282715,4.900792,4.395095,4.023541,2.676848,2.897741,3.048303,2.832584,2.577306,2.520797,2.196939,2.002305,2.100512,2.156697,2.152403,1.778667,1.795635,2.011598
