,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
All_Freight,2.493164,12.50692,13.15179,13.152756,13.41602,13.030888,13.965436,15.004796,15.17604,14.970185,15.220686,14.80117,14.356621,12.00783,13.895199,14.065658,13.942611,13.366867,11.967816,11.15375,8.675351,8.953526,9.456725,9.509478,7.944608,8.271565,8.834014
All_Freight_Both_Mainline,0,10.238194,10.815677,10.494153,10.616368,10.348717,11.392416,12.450222,12.697043,12.175507,12.572843,12.183986,11.852426,9.948461,11.363806,11.706776,11.95001,11.989797,10.631623,10.062351,8.047064,8.455792,8.960175,9.098739,7.545436,7.644523,8.233864
All_Freight_Only_Mainline,0,10.238194,10.815677,10.494153,10.616368,10.348717,11.392416,12.450222,12.697043,12.175507,12.572843,12.183986,11.852426,9.948461,11.363806,11.706776,11.95001,11.989797,10.631623,10.062351,8.047064,8.455792,8.960175,9.098739,7.545436,7.644523,8.233864
All_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Freight_Non_Mainline,2.493164,2.268726,2.336113,2.658603,2.799652,2.682171,2.57302,2.554574,2.478997,2.794678,2.647843,2.617184,2.504195,2.059369,2.531393,2.358882,1.992601,1.37707,1.336193,1.091399,0.628287,0.497734,0.49655,0.410739,0.399172,0.627042,0.60015
ClassI_Freight_Both_Mainline,0,10.238194,10.815677,10.494153,10.616368,10.348717,11.392416,12.450222,12.697043,12.175507,12.572843,12.183986,11.852426,9.948461,11.363806,11.706776,11.95001,11.989797,10.631623,10.062351,8.047064,8.455792,8.960175,9.098739,7.545436,7.644523,8.233864
ClassI_Freight_Only_Mainline,0,10.238194,10.815677,10.494153,10.616368,10.348717,11.392416,12.450222,12.697043,12.175507,12.572843,12.183986,11.852426,9.948461,11.363806,11.706776,11.95001,11.989797,10.631623,10.062351,8.047064,8.455792,8.960175,9.098739,7.545436,7.644523,8.233864
ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClassI_Freight_Non_Mainline,2.493164,2.268726,2.336113,2.658603,2.799652,2.682171,2.57302,2.554574,2.478997,2.794678,2.647843,2.617184,2.504195,2.059369,2.531393,2.358882,1.992601,1.37707,1.336193,1.091399,0.628287,0.497734,0.49655,0.410739,0.399172,0.627042,0.60015
Non_ClassI_Freight_Both_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Only_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Non_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Train,2.493164,12.50692,13.157788,13.152757,13.41602,13.030888,13.965436,15.004796,15.17604,14.970185,15.220686,14.80117,14.356621,12.00783,13.895199,14.065658,13.942611,13.366867,11.967816,11.15375,8.675351,8.953526,9.456725,9.509478,7.944608,8.271565,8.834014
All_Train_Mainline,0,10.238194,10.821675,10.494154,10.616368,10.348717,11.392416,12.450222,12.697043,12.175507,12.572843,12.183986,11.852426,9.948461,11.363806,11.706776,11.95001,11.989797,10.631623,10.062351,8.047064,8.455792,8.960175,9.098739,7.545436,7.644523,8.233864
All_Train_Non_Mainline,2.493164,2.268726,2.336113,2.658603,2.799652,2.682171,2.57302,2.554574,2.478997,2.794678,2.647843,2.617184,2.504195,2.059369,2.531393,2.358882,1.992601,1.37707,1.336193,1.091399,0.628287,0.497734,0.49655,0.410739,0.399172,0.627042,0.60015
