,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
All_Freight,9.897773,64.503182,68.319901,81.878257,95.891922,90.058426,92.324216,93.154767,96.983934,101.838961,105.320383,102.423729,101.165973,85.476857,91.082015,83.57787,87.81986,95.891972,95.90296,96.473089,91.55555,94.455297,92.406692,87.634292,72.734571,69.293135,67.953054
All_Freight_Both_Mainline,0,54.240878,57.776881,68.339875,81.087054,76.201648,78.907473,80.066587,83.943,87.681961,90.999841,87.943111,85.798352,75.466682,77.868656,76.668708,80.374301,82.704522,82.541256,83.124219,79.428473,82.235958,79.743998,76.09695,63.459055,61.401017,60.069048
All_Freight_Only_Mainline,0,54.240878,57.776881,68.339875,81.087054,76.201648,78.907473,80.066587,83.943,87.681961,90.999841,87.943111,85.798352,75.466682,77.868656,76.668708,80.374301,82.704522,82.541256,83.124219,79.428473,82.235958,79.743998,76.09695,63.459055,61.401017,60.069048
All_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Freight_Non_Mainline,9.897773,10.262304,10.54302,13.538382,14.804868,13.856778,13.416743,13.08818,13.040934,14.157,14.320542,14.480618,15.367621,10.010175,13.213359,6.909162,7.445559,13.18745,13.361704,13.34887,12.127077,12.219339,12.662694,11.537342,9.275516,7.892118,7.884006
ClassI_Freight_Both_Mainline,0,54.240878,57.776881,68.339875,81.087054,76.201648,78.907473,80.066587,83.943,87.681961,90.999841,87.943111,85.798352,75.466682,77.868656,76.668708,80.374301,82.704522,82.541256,83.124219,79.428473,82.235958,79.743998,76.09695,63.459055,61.401017,60.069048
ClassI_Freight_Only_Mainline,0,54.240878,57.776881,68.339875,81.087054,76.201648,78.907473,80.066587,83.943,87.681961,90.999841,87.943111,85.798352,75.466682,77.868656,76.668708,80.374301,82.704522,82.541256,83.124219,79.428473,82.235958,79.743998,76.09695,63.459055,61.401017,60.069048
ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClassI_Freight_Non_Mainline,9.897773,10.262304,10.54302,13.538382,14.804868,13.856778,13.416743,13.08818,13.040934,14.157,14.320542,14.480618,15.367621,10.010175,13.213359,6.909162,7.445559,13.18745,13.361704,13.34887,12.127077,12.219339,12.662694,11.537342,9.275516,7.892118,7.884006
Non_ClassI_Freight_Both_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Only_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Non_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Train,9.897773,64.503182,68.319901,81.878257,95.891922,90.058426,92.324216,93.154767,96.983934,101.838961,105.320383,102.423729,101.165973,85.476857,91.082015,83.57787,87.81986,95.891972,95.90296,96.473089,91.55555,94.455297,92.406692,87.634292,72.734571,69.293135,67.953054
All_Train_Mainline,0,54.240878,57.776881,68.339875,81.087054,76.201648,78.907473,80.066587,83.943,87.681961,90.999841,87.943111,85.798352,75.466682,77.868656,76.668708,80.374301,82.704522,82.541256,83.124219,79.428473,82.235958,79.743998,76.09695,63.459055,61.401017,60.069048
All_Train_Non_Mainline,9.897773,10.262304,10.54302,13.538382,14.804868,13.856778,13.416743,13.08818,13.040934,14.157,14.320542,14.480618,15.367621,10.010175,13.213359,6.909162,7.445559,13.18745,13.361704,13.34887,12.127077,12.219339,12.662694,11.537342,9.275516,7.892118,7.884006
