,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
All_Freight,19.107122,166.275923,158.232433,174.968922,179.300091,173.587072,187.640543,191.151826,194.223631,200.233363,204.40217,195.286577,183.119072,149.449203,160.260829,167.102372,167.509701,166.739378,174.563845,162.617614,148.222077,152.334076,154.301439,135.963719,113.624909,112.155046,114.466234
All_Freight_Both_Mainline,0,150.273102,142.913853,159.01287,163.273716,159.211306,173.90589,175.399029,177.457947,183.201193,187.494115,167.794182,158.542085,130.320378,141.087032,145.477807,145.54019,144.479819,151.629498,139.872427,129.240572,133.102264,134.497842,117.595122,98.214454,96.393128,98.718283
All_Freight_Only_Mainline,0,150.273102,142.913853,159.00825,163.273716,159.211306,162.990972,164.522334,165.332523,170.25047,184.308553,164.552435,155.084068,127.471524,138.273064,142.248187,141.978912,140.855589,148.165814,136.833862,126.224755,129.560322,131.680072,115.221113,96.241233,94.671035,97.224498
All_Freight_Other_Mainline,0,0,0,0.00462,0,0,10.914918,10.876695,12.125424,12.950723,3.185562,3.241747,3.458017,2.848854,2.813968,3.22962,3.561278,3.62423,3.463684,3.038565,3.015817,3.541942,2.81777,2.374009,1.973221,1.722093,1.493785
All_Freight_Non_Mainline,19.107122,16.002821,15.31858,15.956052,16.026375,14.375766,13.734653,15.752797,16.765684,17.03217,16.908055,27.492395,24.576987,19.128825,19.173797,21.624565,21.969511,22.259559,22.934347,22.745187,18.981505,19.231812,19.803597,18.368597,15.410455,15.761918,15.747951
ClassI_Freight_Both_Mainline,0,150.273102,142.913853,159.01287,163.273716,159.211306,173.90589,175.399029,177.457947,183.201193,187.494115,167.794182,158.542085,130.320378,141.087032,145.477807,145.54019,144.479819,151.629498,139.872427,129.240572,133.102264,134.497842,117.595122,98.214454,96.393128,98.718283
ClassI_Freight_Only_Mainline,0,150.273102,142.913853,159.00825,163.273716,159.211306,162.990972,164.522334,165.332523,170.25047,184.308553,164.552435,155.084068,127.471524,138.273064,142.248187,141.978912,140.855589,148.165814,136.833862,126.224755,129.560322,131.680072,115.221113,96.241233,94.671035,97.224498
ClassI_Freight_Other_Mainline,0,0,0,0.00462,0,0,10.914918,10.876695,12.125424,12.950723,3.185562,3.241747,3.458017,2.848854,2.813968,3.22962,3.561278,3.62423,3.463684,3.038565,3.015817,3.541942,2.81777,2.374009,1.973221,1.722093,1.493785
ClassI_Freight_Non_Mainline,19.107122,16.002821,15.31858,15.956052,16.026375,14.375766,13.734653,15.752797,16.765684,17.03217,16.908055,27.492395,24.576987,19.128825,19.173797,21.624565,21.969511,22.259559,22.934347,22.745187,18.981505,19.231812,19.803597,18.368597,15.410455,15.761918,15.747951
Non_ClassI_Freight_Both_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Only_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non_ClassI_Freight_Non_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All_Train,19.107122,166.278516,158.232433,177.262997,181.601006,173.587072,187.640543,191.151826,194.223631,200.233363,204.40217,195.286577,183.119072,149.449203,160.260829,167.102372,167.509701,166.739411,174.563845,162.617614,148.222077,152.334076,154.301439,135.963719,113.624909,112.155046,114.466234
All_Train_Mainline,0,150.275695,142.913853,161.306945,165.574631,159.211306,173.90589,175.399029,177.457947,183.201193,187.494115,167.794182,158.542085,130.320378,141.087032,145.477807,145.54019,144.479852,151.629498,139.872427,129.240572,133.102264,134.497842,117.595122,98.214454,96.393128,98.718283
All_Train_Non_Mainline,19.107122,16.002821,15.31858,15.956052,16.026375,14.375766,13.734653,15.752797,16.765684,17.03217,16.908055,27.492395,24.576987,19.128825,19.173797,21.624565,21.969511,22.259559,22.934347,22.745187,18.981505,19.231812,19.803597,18.368597,15.410455,15.761918,15.747951
