,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
All_Freight,85.054261,594.894085,601.315099,626.877621,635.797102,619.20582,634.352984,649.103708,675.078582,693.08106,711.260543,687.935425,665.85915,555.45159,594.652435,608.205646,620.527569,633.86406,650.095134,626.475465,575.336621,589.465522,594.329643,558.758459,481.100683,478.869528,477.15403,442.347769
All_Freight_Both_Mainline,0,512.8744,520.487845,542.29062,549.445655,537.204746,557.216801,571.327698,595.291455,609.318243,626.533284,588.277602,568.255468,478.034256,510.942333,526.262024,537.170271,545.537474,559.840408,537.099616,494.732092,508.550657,513.108105,480.652607,413.135731,412.024289,410.824225,380.731881
All_Freight_Only_Mainline,0,512.414349,520.027068,542.122829,549.38291,537.13354,546.216431,560.370981,583.078706,596.275663,623.266248,584.952141,564.717368,475.093001,508.062103,522.96702,533.546286,541.858964,556.32781,533.982948,491.58883,504.878251,510.159421,478.153944,411.063609,410.200873,409.14211,379.272634
All_Freight_Other_Mainline,0,0.460051,0.460777,0.167791,0.062745,0.071206,11.00037,10.956717,12.212749,13.04258,3.267036,3.325461,3.5381,2.941255,2.88023,3.295004,3.623985,3.67851,3.512598,3.116668,3.143262,3.672406,2.948684,2.498663,2.072122,1.823416,1.682115,1.459247
All_Freight_Non_Mainline,85.054261,82.019685,80.827254,84.587001,86.351447,82.001074,77.136183,77.77601,79.787127,83.762817,84.727259,99.657823,97.603682,77.417334,83.710102,81.943622,83.357298,88.326586,90.254726,89.375849,80.604529,80.914865,81.221538,78.105852,67.964952,66.845239,66.329805,61.615888
ClassI_Freight_Both_Mainline,0,487.246792,494.709678,517.410422,524.954872,513.71727,534.153996,548.222673,570.402749,583.726799,599.889559,561.714447,542.663953,455.912221,488.345706,502.696151,513.09667,520.986235,534.49599,511.665136,469.530247,482.988542,487.021226,455.264294,389.361851,388.524386,387.712924,350.171988
ClassI_Freight_Only_Mainline,0,486.861134,494.30087,517.275984,524.934785,513.689684,523.205739,537.316022,558.246129,570.748618,596.680455,558.449253,539.180335,453.028674,485.512015,499.445085,509.51545,517.350093,531.0214,508.606011,466.476866,479.399235,484.153188,452.839477,387.370596,386.786232,386.196077,348.791765
ClassI_Freight_Other_Mainline,0,0.385658,0.408808,0.134438,0.020087,0.027586,10.948257,10.906651,12.15662,12.978181,3.209104,3.265194,3.483618,2.883547,2.833691,3.251066,3.58122,3.636142,3.47459,3.059125,3.053381,3.589307,2.868038,2.424817,1.991255,1.738154,1.516847,1.380223
ClassI_Freight_Non_Mainline,76.079082,71.590401,70.441352,72.065612+,72.73518,68.103667,63.452322,63.717175,64.981757,67.052154,67.686523,82.461434,79.958259,61.94066,66.735599,64.51151,65.283745,69.962072,71.653039,70.44978,62.008521,62.069006,61.636178,57.93431,49.006069,47.865889,47.885997,43.414371
Non_ClassI_Freight_Both_Mainline,0,25.627608,25.778167,24.880198,24.490783,23.487476,23.062805,23.105025,24.888706,25.591444,26.643725,26.563155,25.591515,22.122035,22.596627,23.565873,24.073601,24.551239,25.344418,25.43448,25.201845,25.562115,26.086879,25.388313,23.77388,23.499903,23.111301,30.559893
